Location,Time,Category,Que/Ans,Urgent,High,Verified,Additional,Frequent
"Chippenham, Wiltshire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details We would like an average cost to convert a single garage into a garden room. No plumbing needed as it is next to the house and we already have electricity in the garage. We need the garage door filled in, double doors fitted to garden, insulated, plastered, flooring and decorating.  Additional Details: We would like an average cost to convert a single garage into a garden room. No plumbing needed as it is next to the house and we already have electricity in the garage. We need the garage door filled in, double doors fitted to garden, insulated, plastered, flooring and decorating.",1,1,1,1,0
"Cheltenham, Gloucestershire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,0,0,0
"Manchester, M12",4d ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone,0,1,1,0,1
"Woolacombe, Devon",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,0
"Wymondham, NR18",1w ago,Garage Conversions,Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details We need help and ideas to complete a garage conversion as well as help with the planning process.  Additional Details: We need help and ideas to complete a garage conversion as well as help with the planning process.,0,1,1,1,0
"Birmingham, B23",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Garage conversion, knock through well next to Garage to extend kitchen  Additional Details: Garage conversion, knock through well next to Garage to extend kitchen",1,1,1,1,0
"North Yorkshire, YO7",4d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,0,1,0
"Walsall, WS1",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details I just want a living room  Additional Details: I just want a living room",0,1,1,1,1
"Chestfield, Kent",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,0,0,0
Manchester,1w ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Make an extension  Additional Details: Make an extension,1,1,1,1,0
"London, BR6",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? I don’t know  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,0
"Waterlooville, PO7",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,0
", Cannington, TA5",4d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits three cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details 55sqmeter garage conversion with loft  Additional Details: 55sqmeter garage conversion with loft",1,1,1,1,0
"Whitby, YO21",4d ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bar  Do you have plans drawn up? Bar  What is the planning permission status for this job? Garage in place do not need planning  How likely are you to make a hiring decision? I'm definitely going to hire someone,0,1,1,0,0
"Hayling Island, PO11",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility and gym  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details No plans yet, it&#039;s an attached garage, would like a utlitg area but also a gym  Additional Details: No plans yet, it&#039;s an attached garage, would like a utlitg area but also a gym",1,1,1,1,0
"Sittingbourne, ME10",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details I would like to convert part of my garage to a bedroom  Additional Details: I would like to convert part of my garage to a bedroom",0,1,1,1,0
"Leeds, LS25",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,1
"Halifax, HX2",20h ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Gym  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details I want to convert my garage to a gym  Additional Details: I want to convert my garage to a gym",0,0,1,1,0
"Croydon, Greater London",20h ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? I don’t know  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning application made but not determined  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details I will have a living room with small kitchen, bathroom in 14ftx30ft  Additional Details: I will have a living room with small kitchen, bathroom in 14ftx30ft",0,0,0,1,1
"Salcombe, Devon",1d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? bedroom & bathroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Conversion of existing internal double garage into a bedroom &amp; en suite  Additional Details: Conversion of existing internal double garage into a bedroom &amp; en suite",1,0,0,1,1
"Llangollen, LL20",2d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Car  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,1
"Norwich, NR13",3d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details A garage into a bedroom with ensuit  Additional Details: A garage into a bedroom with ensuit",0,0,1,1,0
"St. Neots, PE19",3d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,0
"Middlewich, CW10",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Second lounge  Additional Details: Second lounge",0,0,1,1,0
"Seaford, East Sussex",4d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,1
"Leicester, LE5",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I will possibly hire someone  Additional details I am looking for someone who can convert garage in to a small bed room bathroom and kitchen.  Additional Details: I am looking for someone who can convert garage in to a small bed room bathroom and kitchen.",0,0,1,1,0
"York, YO32",4d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits three cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,0
"Welwyn Garden City, AL7",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Wanted to convert into a living room with as much day light through as possible. Currently have boiler, gas and water pipes and meters also in the garage  Additional Details: Wanted to convert into a living room with as much day light through as possible. Currently have boiler, gas and water pipes and meters also in the garage",0,0,1,1,0
"Manchester, M31",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm planning and researching  Additional details I would like a quote for the below work (Only Labour charges and deadline) I can supply most material from local B&amp;Q and online shops. If any small materials such as Plasters, screws required I can pay for them separately.  Note: I&#039;m still planning on budgeting this project. It requires Leasholder consent which might take time. If you need any details, kindly msg me here or on Whatsapp. I appreciate no pushy sales please.  Additional Details: I would like a quote for the below work (Only Labour charges and deadline) I can supply most material from local B&amp;Q and online shops. If any small materials such as Plasters, screws required I can pay for them separately.  Note: I&#039;m still planning on budgeting this project. It requires Leasholder consent which might take time. If you need any details, kindly msg me here or on Whatsapp. I appreciate no pushy sales please.",0,0,1,1,1
"Leicester, LE9",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details After a quote to change a garage which is an integral part of a bungalow to a new bedroom  Additional Details: After a quote to change a garage which is an integral part of a bungalow to a new bedroom",0,0,1,1,1
"London, CR0",6d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Would like to raise roof and plan garage conversation into an office space.  Additional Details: Would like to raise roof and plan garage conversation into an office space.",0,0,1,1,0
"Leeds, LS27",22h ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm planning and researching  Additional details I want to reduce the size of the garage inside the house and divide the space to create a home office and a laundry room.  Additional Details: I want to reduce the size of the garage inside the house and divide the space to create a home office and a laundry room.",0,0,1,1,1
"Dudley, DY1",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Storage  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,1
"London, N21",4d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Gym plus storage  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone",0,0,1,0,0
"Altrincham, WA15",4d ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone,0,0,0,0,1
"Chelmsford, Essex",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,1
"Lymington, SO41",5d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Storage  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I will possibly hire someone  Additional details My garage is in a Blick and is damp. Would like it to be damp proof and made more useful  Additional Details: My garage is in a Blick and is damp. Would like it to be damp proof and made more useful",0,0,0,1,1
"Sudbury, CO10",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Wetroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone",0,0,1,0,0
"Gosport, PO12",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits three cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone",0,0,1,0,0
", Didcot, OX11",1w ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I will possibly hire someone,0,0,0,0,1
"Didcot, OX11",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details need help with garage conversion  Additional Details: need help with garage conversion",1,0,0,1,1
"Stoke-On-Trent, ST4",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm likely to hire someone",0,0,1,1,0
"Pontypridd, CF38",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Gym  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,1,0
"Littlehampton, BN16",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Bedroom with shower and toilet  Additional Details: Bedroom with shower and toilet",0,0,0,1,0
"Chester Le Street, DH2",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I will possibly hire someone",0,0,1,0,0
", Royston, SG8",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Looking to convert a detached garage into a self contained studio or one bed accomodation  Additional Details: Looking to convert a detached garage into a self contained studio or one bed accomodation",0,0,1,1,1
"Newcastle, ST5",12h ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Aesthetic office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Convert old garage into business/office. Have electricity,but no plumbing. Need new windows and roof.  Additional Details: Convert old garage into business/office. Have electricity,but no plumbing. Need new windows and roof.",0,0,0,1,1
"Stevenage, Hertfordshire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm planning and researching",0,0,1,0,1
"Northampton, NN5",1w ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Double garage next to but not attached to property. Looking to convert into usable office space with minimal frills and a separate storage area  Additional Details: Double garage next to but not attached to property. Looking to convert into usable office space with minimal frills and a separate storage area,0,0,1,1,1
"Belfast, BT8",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom ensuit  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm planning and researching  Additional details Wanted to convert garage into bedroom ensuit  Additional Details: Wanted to convert garage into bedroom ensuit",1,0,1,1,1
", Langdon Hills, SS16",1w ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm likely to hire someone,0,0,1,0,0
"Stockport, SK3",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Convert and update existing garage into utility  Additional Details: Convert and update existing garage into utility",0,0,1,1,1
"Slough, SL1",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details I wana convert garage into a bedroom  Additional Details: I wana convert garage into a bedroom",1,0,1,1,0
"Leicester, LE3",1w ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details I would like an estimate for garage conversions and date to start work  Additional Details: I would like an estimate for garage conversions and date to start work,1,0,1,1,0
"Stevenage, SG2",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? I don’t know  What are you planning to use the converted garage for? Bed room/ dog area  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details The garage has leaked before  Additional Details: The garage has leaked before",0,0,1,1,0
"Debenham, Suffolk",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Garage attached to property, needs a window where the current garage door is, a external door blocked up and an internal door created  Additional Details: Garage attached to property, needs a window where the current garage door is, a external door blocked up and an internal door created",0,0,1,1,0
"Leicester, LE2",1w ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning application made but not determined  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Garage conversion  Additional Details: Garage conversion,1,0,1,1,0
"Rugby, CV22",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Internal garage conversion, already double wall I believe, window required and internal access from living room.  Additional Details: Internal garage conversion, already double wall I believe, window required and internal access from living room.",0,0,0,1,0
"Wellingborough, Northamptonshire",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details How much to convert garage to room  Additional Details: How much to convert garage to room",0,0,0,1,0
"York, YO43",2w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone",1,0,1,1,0
"Widnes, WA8",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Simple garage conversion  Additional Details: Simple garage conversion",0,0,0,1,0
"Ipswich, IP1",6d ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I will possibly hire someone,0,0,1,0,1
"Sudbury, CO10",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Games room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details No information  Additional Details: No information",0,0,1,1,0
"Leicester, LE2",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details small integral (ie built into the house, with living accommodation over) in 1929 semi.  Additional Details: small integral (ie built into the house, with living accommodation over) in 1929 semi.",0,0,1,1,0
"Aylesbury, HP19",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Transform garage  Additional Details: Transform garage",0,0,1,1,0
"Basingstoke, RG24",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details looking for someone to convert our garage so it has a bedroom, kitchen, bathroom which we can rent out.  Additional Details: looking for someone to convert our garage so it has a bedroom, kitchen, bathroom which we can rent out.",0,0,0,1,1
"London, UB10",1d ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm likely to hire someone,0,0,1,1,0
"Hayes, Greater London",5d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Medium sized kitchen, small bathroom, a lounge and 2x bedrooms  Additional Details: Medium sized kitchen, small bathroom, a lounge and 2x bedrooms",0,0,1,1,1
"Cornwall, PL30",5d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Double garage conversion  Additional Details: Double garage conversion",0,0,0,1,1
"Hebburn, NE31",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm planning and researching",0,0,1,1,0
